start,27900
dump,60.2485199999137
link,4000000012482506,+,25,1.896
link,4000000013104586,-,14,1.048
link,4000000013081836,-,1,1.938
link,4000000013081576,+,1,1.842
link,4000000013103810,-,3,1.776
link,4000000013103955,-,3,1.088
link,4000000013081398,-,8,1.889
link,4000000013081495,-,31,1.877
link,4000000012501428,-,3,1.921
link,4000000013104923,+,7,1.911
link,4000000013103752,+,4,1.865
link,4000000012494888,-,1,1.96
link,4000000013610139,-,3,2
link,4000000012494885,-,2,1.881
link,4000000012505286,-,3,1.955
link,4000000013081805,-,1,1.905
link,4000000013103840,-,1,2
link,4000000012505049,+,1,1.75
link,4000000013104055,+,5,1.941
link,4000000013103933,-,22,1.899
link,4000000013081820,-,21,1.898
link,4000000012501479,-,2,1.914
link,4000000013104201,+,2,1.878
link,4000000013081389,+,7,1.9
link,4000000012478042,-,2,1.903
link,4000000013104352,-,1,1.905
link,4000000013104001,+,2,1.949
link,4000000013104441,+,3,1.896
link,4000000013081848,+,4,1.921
link,4000000012501258,+,1,1.905
link,4000000012501388,-,3,1.941
link,4000000013081718,+,6,1.905
link,4000000013104378,+,1,1.643
link,4000000013104547,+,1,1.625
link,4000000013081630,+,2,1.889
link,4000000013104474,+,1,1.813
link,4000000012501289,-,7,1.903
link,4000000012501482,+,7,1.933
link,4000000012526368,-,2,2
link,4000000012505178,-,12,1.852
link,4000000013080983,-,4,3.938
link,4000000013081538,-,10,1.874
link,4000000013081637,-,1,1.889
link,4000000013103711,+,5,1.919
link,4000000013081228,+,8,1.898
link,4000000013103951,-,33,1.867
link,4000000013081324,+,4,1
link,4000000012500986,-,1,2
link,4000000013081250,-,41,1.899
link,4000000012501455,-,10,1.915
link,4000000013081882,-,7,1.936
link,4000000013081359,+,26,1.888
link,4000000012500974,+,1,1.048
link,4000000012505250,+,3,1.929
link,4000000012528929,-,1,1.889
link,4000000013081607,-,3,1.831
link,4000000012494890,-,2,1.85
link,4000000012505204,-,1,1.889
link,4000000013104033,-,7,1.916
link,4000000013081514,+,5,1.943
link,4000000013104158,-,17,1.89
link,4000000013104259,-,4,1.857
link,4000000013103998,+,2,1.891
link,4000000012528904,-,1,1.889
link,4000000013081381,+,2,1.833
link,4000000012482494,-,2,1.856
link,4000000012526318,-,24,1.901
link,4000000013081801,-,2,1.919
link,4000000012507446,-,1,2
link,4000000013103707,-,9,1.925
link,4000000013081375,-,6,1.886
link,4000000013081757,-,1,1.906
link,4000000012506957,-,3,1.714
link,4000000013080915,+,29,1.893
link,4000000013104340,+,1,1.865
link,4000000013103722,+,1,3.571
link,4000000013104406,-,1,1.9
link,4000000013081244,-,7,1.917
link,4000000013104156,+,3,1.93
link,4000000013081346,+,7,1.914
link,4000000013646451,+,12,1.914
link,4000000012487866,+,14,1.902
link,4000000012487943,-,4,1.912
link,4000000013081251,+,10,1.902
link,4000000013103966,-,46,1.822
link,4000000013103956,+,4,1.918
link,4000000013104318,+,6,1.929
link,4000000013104248,-,3,1.917
link,4000000013081842,-,1,1.867
link,4000000013104261,-,2,1.922
link,4000000013080876,-,2,1.875
link,4000000012495057,-,1,1.773
link,4000000013081747,-,2,1.97
link,4000000013104925,-,1,1.889
link,4000000013103710,-,13,1.901
link,4000000013104027,-,9,1.876
link,4000000013081522,-,18,1.882
link,4000000012505351,+,3,1.939
link,4000000012487878,+,4,1.895
link,4000000013081832,-,1,2
link,4000000013081314,-,6,1
link,4000000012494853,-,1,1.857
link,4000000013081876,+,2,2
link,4000000013081236,-,69,1.881
link,4000000013103994,-,9,1.925
link,4000000012487961,+,1,1.918
link,4000000012487894,-,7,1.888
link,4000000013081400,+,19,1.888
link,4000000013104316,+,5,1.844
link,4000000013103698,-,15,1.847
link,4000000013103820,+,1,1.857
link,4000000012495104,-,1,1.938
link,4000000012501323,-,1,2
link,4000000012501377,+,30,1.03
link,4000000012495033,-,7,1.906
link,4000000013104568,+,1,1.8
link,4000000013610165,-,3,1.955
link,4000000013104137,+,5,1.881
link,4000000012542482,-,5,1.082
link,4000000012501297,-,2,1.912
link,4000000012494840,+,5,1.896
link,4000000012501414,-,2,1.865
link,4000000012478055,+,8,1.893
link,4000000012501478,-,1,1.952
link,4000000012501462,-,4,1.808
link,4000000012501337,-,1,1.75
link,4000000013104444,-,1,1.864
link,4000000013081892,+,7,1.925
link,4000000013081683,+,7,1.913
link,4000000013610059,+,1,1.875
link,4000000012505268,-,3,1
link,4000000013081335,-,5,1.942
link,4000000013104148,+,1,1.926
link,4000000012501443,-,4,1.933
link,4000000012505345,-,32,1.892
link,4000000012500967,-,1,1.846
link,4000000013104277,-,2,1.855
link,4000000013104262,+,1,1.9
link,4000000013103943,-,12,1.913
link,4000000013081377,+,18,1.981
link,4000000013103873,-,1,2
link,4000000012487918,+,1,1.929
link,4000000013081246,+,7,1.115
link,4000000012505295,-,1,1.8
link,4000000013081125,-,2,1.727
link,4000000013104660,-,2,1.941
link,4000000013104138,+,1,1.906
link,4000000012494977,+,2,1.816
link,4000000013103774,+,3,1.92
link,4000000013103878,-,4,1.931
link,4000000013081074,-,1,1.838
link,4000000012494525,+,3,1.892
link,4000000013103700,-,13,1.883
link,4000000012495035,-,9,1.845
link,4000000012506928,+,1,2
link,4000000013081666,-,1,1.778
link,4000000013081712,+,3,1.091
link,4000000012528926,+,2,1.96
link,4000000013104035,+,13,1.905
link,4000000012494843,+,8,1.863
link,4000000013104016,-,29,1.905
link,4000000013103796,+,3,1.881
link,4000000013081597,-,6,1.894
link,4000000013080760,+,1,1.841
link,4000000013104283,+,2,1.896
link,4000000012505187,+,6,1.787
link,4000000012495030,+,1,1.955
link,4000000013610092,-,9,1.879
link,4000000012501640,+,3,1.811
link,4000000012487978,+,14,1.895
link,4000000012506892,+,10,1.964
link,4000000013103920,+,2,1.898
link,4000000013080894,+,1,2
link,4000000012528922,+,4,1.75
link,4000000012501606,-,3,1.837
link,4000000013081786,-,1,1.885
link,4000000013081841,-,2,2
link,4000000013104324,+,4,1.894
link,4000000013103689,+,3,1.93
link,4000000013081551,-,2,1.897
link,4000000013104269,+,2,1.941
link,4000000013103906,-,39,1.896
link,4000000012494975,+,5,1.922
link,4000000013103849,-,3,1.9
link,4000000013081299,-,5,1.109
link,4000000012495045,+,1,1.966
link,4000000013081831,+,1,1.882
link,4000000013081229,-,54,1.806
link,4000000013103701,-,14,1.886
link,4000000012495034,-,7,1.917
link,4000000013104138,-,22,1.876
link,4000000013080764,+,6,1.783
link,4000000013080763,-,1,1.867
link,4000000013081359,-,2,1.818
link,4000000013104507,+,2,1.826
link,4000000013081754,-,2,1.944
link,4000000013080901,-,27,1.877
link,4000000012501551,+,2,1.815
link,4000000012482467,-,1,1.877
link,4000000013610109,+,1,1.667
link,4000000013081297,+,2,1
link,4000000013104364,-,2,1.943
link,4000000013104224,-,1,1.963
link,4000000013646487,-,11,1.964
link,4000000013081274,+,1,1.8
link,4000000013081285,-,6,1
link,4000000012501648,-,38,1
link,4000000013081622,-,2,1.727
link,4000000013080891,-,4,1.98
link,4000000013081581,+,8,2.009
link,4000000013104321,-,1,2
link,4000000012501267,-,15,1.888
link,4000000013081879,+,3,1.947
link,4000000013610080,-,1,1.909
link,4000000013081732,-,6,1.898
link,4000000012487898,+,44,1.9
link,4000000012528904,+,3,1.844
link,4000000013080763,+,4,1.874
link,4000000013104200,-,3,1.913
link,4000000013081678,-,3,1.85
link,4000000012500978,+,2,1.893
link,4000000013103738,+,11,1.887
link,4000000013081682,+,1,2
link,4000000013104483,-,1,1.933
link,4000000012501491,-,3,1.852
link,4000000013080848,-,20,1.904
link,4000000012495105,+,5,1.898
link,4000000013680943,-,3,1.865
link,4000000013081347,-,4,1.908
link,4000000012495150,-,26,1.875
link,4000000013103819,+,1,1.909
link,4000000013103845,-,13,1.967
link,4000000012494877,+,2,1.882
link,4000000012494943,+,60,1.86
link,4000000012487992,+,12,3.893
link,4000000013562462,+,3,1.943
link,4000000013103977,+,6,1.909
link,4000000012495154,-,1,1.95
link,4000000013104437,+,6,1.892
link,4000000012487931,-,2,1.91
link,4000000012487861,-,2,1.867
link,4000000013103932,-,13,1.887
link,4000000013103922,+,1,1.955
link,4000000013103959,+,2,1.857
link,4000000013104668,+,4,1.955
link,4000000012501441,-,2,1.938
link,4000000013104293,-,1,1.958
link,4000000012501482,-,1,1.857
link,4000000013081589,-,4,1.844
link,4000000013104313,-,9,1.894
link,4000000013081344,-,4,1.907
link,4000000013104175,+,1,1.84
link,4000000013081264,+,11,3.703
link,4000000013081616,+,1,1.917
link,4000000013080971,-,4,3.918
link,4000000012501605,-,1,1.952
link,4000000013571909,-,1,3.75
link,4000000013103822,-,3,1.86
link,4000000013081073,+,6,1.901
link,4000000012506906,+,1,2
link,4000000012494526,+,1,1.938
link,4000000013103756,+,1,1.857
link,4000000013081824,+,2,1.913
link,4000000013104019,-,2,1.125
link,4000000013103832,-,8,1.882
link,4000000013104627,+,2,1.875
link,4000000013081310,+,6,1
link,4000000013081838,+,4,1.807
link,4000000012501385,+,1,3.625
link,4000000013081723,-,3,1.899
link,4000000013103812,+,4,1.921
link,4000000012505322,-,7,1.87
link,4000000013104152,-,12,1.921
link,4000000012495020,-,1,1.947
link,4000000012505184,-,1,1.875
link,4000000012487970,-,3,1.891
link,4000000012495044,+,3,1.925
link,4000000013081230,+,14,1.894
link,4000000013080931,+,4,3.915
link,4000000013104546,-,1,1.059
link,4000000013104500,+,14,1.912
link,4000000013081339,+,36,1.891
link,4000000013081273,+,1,1.944
link,4000000012495083,-,2,1.868
link,4000000013103793,-,4,1.763
link,4000000012501416,+,6,1.89
link,4000000012505188,+,7,1.918
link,4000000012526315,-,1,1.895
link,4000000013103690,+,6,1.883
link,4000000013103971,+,2,1.857
link,4000000013080993,-,4,3.935
link,4000000013081889,-,18,2.387
link,4000000013103760,+,13,1.914
link,4000000013104201,-,3,1.902
link,4000000013080979,-,4,3.89
link,4000000013103862,+,2,2
link,4000000013104188,-,3,1.856
link,4000000013081743,-,1,1.886
link,4000000013103737,-,3,1.864
link,4000000013081329,-,4,1.923
link,4000000013081265,-,14,3.657
link,4000000012482507,+,6,1.927
link,4000000013081250,+,5,1.87
link,4000000013081286,-,13,1.898
link,4000000013104928,-,2,1.921
link,4000000013104576,+,1,1.833
link,4000000012495206,+,1,1.893
link,4000000012507456,+,2,2
link,4000000013080840,-,1,1.857
link,4000000012505353,-,1,1.889
link,4000000012500975,+,3,1.875
link,4000000013047278,+,10,3.866
link,4000000013080813,-,29,1.891
link,4000000013103927,-,11,1.907
link,4000000012501633,+,10,1.846
link,4000000012501372,-,8,1.9
link,4000000012487942,-,5,1.897
link,4000000012487939,-,6,1.892
link,4000000013081892,-,10,1.864
link,4000000013104055,-,6,1.952
link,4000000013104563,-,1,1.833
link,4000000012501367,+,38,1.886
link,4000000013081610,+,1,1.909
link,4000000012506898,+,2,1.833
link,4000000013103718,+,1,1.842
link,4000000012495048,-,26,1.916
link,4000000013103931,-,37,1.892
link,4000000013080878,+,2,1.909
link,4000000013103687,-,13,1.895
link,4000000012501563,+,1,1.889
link,4000000012501430,-,4,1.78
link,4000000013081419,-,18,1.073
link,4000000013081563,-,2,1.873
link,4000000012495149,+,1,1.813
link,4000000013081372,+,5,1.786
link,4000000013081471,-,34,1.9
link,4000000013104442,+,1,1.833
link,4000000012487973,+,5,1.901
link,4000000013104197,+,9,1.88
link,4000000013104205,-,15,1.892
link,4000000012494942,-,7,1.908
